id,nom_article,code_barres,date_peremption,PAU,PVU,PVG,categorie_id
3,maison castel cremant de bordeaux,3211200000807,,7700,9000,,1
4,maison castel ICE cuvee blanche,3211200024834,,5300,6500,,1
5,maison castel ICE cuvee rose,3211200024919,,5250,6500,,1
6,d lucio blanc,8410775002413,,3500,4000,,1
7,d lucio rose,8410775002178,,3000,4000,,1
8,villa veroni lambrusco emilia,3180280403368,,2500,3500,,1
9,carillonade,3760053777447,,4000,4000,,1
10,grand versant demi sec blanc,3760053772244,,1583,2500,,1
11,baron d arignac demi sec rose,3500610108396,,1625,2500,,1
12,xana mon alcolic raisin,8413481040076,,1250,1500,,1
13,magic sparkling blue,5414145065148,,1479.16,1750,,1
14,sirop orange paillotes,3014400003049,,1666,2000,,1
15,sirop citron paillotes,3014400003018,,1666,2000,,1
16,sirop grenadine paillotes,3014400003025,,1666,2000,,1
17,sirop menthe paillotes,3014400003032,,1666,2000,,1
18,mamma mia vin rouge cuvee speciale,8420209033401,,1500,2000,,1
19,lamothe parrot signature,3324651372017,,1916.66,2500,,1
20,selection vertige,3760053770486,,1840,2500,,1
21,cal y canto fruity rose,8437007139440,,1750,2250,,1
22,cal y canto full red merlot syrah 13.5% 750ml,8437007139426,,1750,2250,,1
23,la cour des dames merlot,3760053770356,,1940,2500,,1
24,brise de france merlot,3249382016705,,2416.66,2800,,1
25,brise de france cabernet sauvignon,3249382004979,,2416.66,2800,,1
26,frontera merlot,7804320706009,,2350,2800,,1
27,frontera cabernet sauvignon,7804320559001,,2125,2800,,1
28,four cousins natural sweet red,6002269000566,,2125,2750,,1
29,pearly bay dry red,6002323317432,,2458.33,3000,,1
30,les ormes de cambras merlot,3211203420121,,3600,4700,,1
31,beauvillon,3180280404525,,2600,3700,,1
32,baron de lestac bordeaux,3211203433220,,5600,6800,,1
33,maison castel merlot,3211201046460,,4250,5500,,1
34,bordeaux vin rouge,3452130038199,,3500,4500,,1
35,maison castel cabernet sauvignon,3211201046439,,0,5500,,1
36,capitor red cuvee,3211209284338,,5500,7000,,1
37,maison castel syrah,3211201046491,,4250,5500,,1
38,chateau meric minervois,3291890045166,,4000,5000,,1
39,mouton cadet bordeaux baron,3262151001757,,7750,9500,,1
40,alexio garcia vin rouge,5604414101015,,3750,4000,,1
41,clarendelle bordeaux,3760136214227,,10416.66,12500,,1
42,jelzin currant vodka,3263285154678,,2230,3000,,1
43,jelzin vodka,3263285152629,,2083,2500,,1
44,white fox triple distilled vodka naughty green apple,8901053001292,,1791,2500,,1
45,silver anchor london dry gin,8901591003420,,0,2000,,1
46,john langer premium spiritueux,3014409001695,,0,2750,,1
47,royal circle premium extra smooth whisky,8904023700195,,1875,2500,,1
48,black delux whisky,8902967200900,,0,3000,,1
49,pm 8 750ml,8902147010923,,1917,2500,,1
50,clan campbell,5010739610406,,7167,8500,,1
51,jelzin vodka 70cl,3263285151356,,1450,2250,,1
52,jelzin red orange liqueur 70cl,3263285153077,,1550,2250,,1
53,jelzin black liqueur 70cl,3263285154029,,1550,2250,,1
54,hamwick spiritueux original branded 1l,3014400013062,,1291,2000,,1
55,mac callister whisky,5414145035714,,0,3000,,1
56,boisson anisee ballon,8904124700193,,0,1500,,1
57,milestone 100 750ml,8902169000407,,1791.66,2500,,1
58,radico gold premium whisky,8902147013528,,2334,3000,,1
59,pentagon gold edition whisky 750ml,8901053004880,,1791.66,2500,,1
60,royal stag deluxe whisky 750ml,8901522000092,,2166,3000,,1
61,8 pm whisky 1l,8902147010916,,2209,3000,,1
62,after dark whisky 750ml,8901556014522,,0,3500,,1
63,whytehall honey whisky,8902146014717,,2250,3000,,1
64,martin richman single malt spirit 1l,4820136355746,,0,6500,,1
65,johnnie walker red label whisky 1L,5000267013626,,7084,9500,,1
